Posiciones de Personaje 

posicion47:(X: 610,9363, Y: 25,95671, Z: 569,2145)
posicion48:(X: 624,8391, Y: 25,95671, Z: 556,1094)
posicion49:(X: 623,6732, Y: 25,95671, Z: 557,8732)
posicion50:(X: 612,6191, Y: 25,95671, Z: 574,5944)
posicion51:(X: 602,2482, Y: 25,9567, Z: 591,8132)
posicion52:(X: 613,319, Y: 25,95671, Z: 593,5655)
posicion53:(X: 612,0261, Y: 25,95671, Z: 592,9378)
posicion54:(X: 596,436, Y: 25,95671, Z: 592,0535)
posicion55:(X: 596,6171, Y: 25,95671, Z: 602,286)
posicion56:(X: 589,3326, Y: 25,95671, Z: 616,0464)
posicion57:(X: 585,5145, Y: 25,95671, Z: 618,1218)
posicion58:(X: 567,618, Y: 25,95671, Z: 627,6132)
posicion59:(X: 549,7666, Y: 25,95671, Z: 637,0801)
posicion60:(X: 531,8957, Y: 25,99079, Z: 646,5573)
posicion61:(X: 515,0917, Y: 29,69313, Z: 655,5916)
posicion62:(X: 507,4884, Y: 34,90061, Z: 671,5614)
posicion63:(X: 517,6647, Y: 35,45643, Z: 686,136)
posicion64:(X: 529,7826, Y: 34,94871, Z: 679,8961)
posicion65:(X: 528,6564, Y: 35,2753, Z: 686,1444)
posicion66:(X: 526,5313, Y: 35,57003, Z: 692,6797)
posicion67:(X: 533,33, Y: 34,59662, Z: 677,5934)
posicion68:(X: 534,4507, Y: 28,9119, Z: 657,7902)
posicion69:(X: 530,4686, Y: 25,96482, Z: 637,5067)
posicion70:(X: 527,4164, Y: 25,95671, Z: 621,9789)
posicion71:(X: 527,4164, Y: 25,95671, Z: 621,9789)
posicion1:(X: 511,2882, Y: 25,95671, Z: 485,9373)
posicion1:(X: 511,2882, Y: 25,95671, Z: 485,9373)
